Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2020-01-15 20:07:33,false,"Lak Si Running","7.45","632","00:56:50","150","165","4.1","158","162","7:37","6:34","--","4","0.83","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","03:03.28","8","0.0","--","--","--"
Road Cycling,2020-01-11 07:00:42,false,"Chom Bueng Road Cycling","608.66","9,631","30:13:32","129","191","5.0","--","--","20.1","66.3","5,936","5,948","0.00","0.0","0.0","--","69","254","118","--","452.7","161","89","583","0.0","0.0","100631","--","--","0:00","12.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2020-01-09 17:53:19,false,"Bang Phli Road Cycling","70.40","946","02:01:45","143","175","3.8","--","--","34.7","44.7","9","20","0.00","0.0","0.0","--","80","159","144","--","45.1","155","130","604","0.0","0.0","9731","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2020-01-08 18:16:42,false,"Bang Phli Road Cycling","46.79","686","01:35:19","136","157","3.1","--","--","29.5","47.0","6","18","0.00","0.0","0.0","--","78","168","141","--","33.8","131","120","509","0.0","0.0","7455","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-24 17:48:07,false,"Bang Phli Road Cycling","23.47","299","00:45:50","137","189","3.0","--","--","30.7","47.6","4","11","0.00","0.0","0.0","--","73","149","124","--","12.6","130","109","376","0.0","0.0","3222","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-21 16:02:30,false,"Mueang Pathum Thani Road Cycling","200.86","2,969","07:06:10","150","174","5.0","--","--","28.3","52.2","173","192","0.00","0.0","0.0","--","76","182","141","--","151.4","168","116","669","0.0","0.0","27449","--","--","0:00","25.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-20 06:55:14,false,"Bang Phli Road Cycling","46.84","772","01:28:20","146","170","3.4","--","--","31.8","45.3","4","18","0.00","0.0","0.0","--","83","156","157","--","39.0","172","146","565","0.0","0.0","7314","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-17 18:43:10,false,"Bang Phli Road Cycling","46.82","774","01:28:11","139","167","3.0","--","--","31.9","46.5","11","21","0.00","0.0","0.0","--","83","159","164","--","42.4","178","146","581","0.0","0.0","7348","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-15 06:18:48,false,"Bang Phli Road Cycling","93.88","1,421","02:52:21","136","163","3.5","--","--","32.7","39.3","24","33","0.00","0.0","0.0","--","78","178","146","--","65.8","175","137","501","0.0","0.0","13446","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-14 06:24:42,false,"Bang Phli Road Cycling","117.33","1,634","03:26:20","138","172","3.6","--","--","34.1","45.1","25","44","0.00","0.0","0.0","--","78","162","142","--","75.3","169","132","585","0.0","0.0","16018","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-12 17:58:10,false,"Bang Phli Road Cycling","46.91","586","01:20:42","134","158","2.6","--","--","34.9","52.4","5","15","0.00","0.0","0.0","--","78","168","153","--","33.7","153","121","739","0.0","0.0","6203","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-11 17:41:04,false,"Bang Phli Road Cycling","70.33","1,203","02:23:47","136","169","3.1","--","--","29.3","46.3","8","22","0.00","0.0","0.0","--","82","157","146","--","55.0","158","139","623","0.0","0.0","11719","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-10 17:08:59,false,"Bang Phli Road Cycling","93.84","1,245","02:45:00","140","166","3.8","--","--","34.1","50.3","17","28","0.00","0.0","0.0","--","78","173","150","--","66.4","179","126","707","0.0","0.0","12666","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-09 18:11:20,false,"Bang Phli Road Cycling","46.90","665","01:17:00","136","168","2.8","--","--","36.5","41.8","7","16","0.00","0.0","0.0","--","81","153","157","--","33.9","176","144","460","0.0","0.0","6210","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-08 17:25:48,false,"Bang Phli Road Cycling","93.79","1,503","02:57:38","139","163","3.4","--","--","31.7","44.5","16","28","0.00","0.0","0.0","--","81","161","149","--","71.0","165","141","640","0.0","0.0","14308","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
