Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp,Avg Resp,Min Resp,Max Resp
Road Cycling,2018-02-12 06:59:42,false,"Muang Chiang Mai Road Cycling","30.82","751","02:17:46","121","170","--","--","--","13.4","51.7","978","975","0.00","0.0","0.0","--","68","112","122","--","85.0","131","91","447","0.0","0.0","7208","--","--","0:00","13.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2018-02-11 09:13:30,false,"Mae Chaem Road Cycling","4.39","2","00:11:44","127","150","--","--","--","22.4","49.9","3","363","0.00","0.0","0.0","--","40","50","31","--","0.5","--","4","111","0.0","0.0","32","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2018-02-11 05:21:57,false,"Doi Lor Road Cycling","45.60","1,729","03:40:36","144","181","--","--","--","12.4","59.9","2,287","142","0.00","0.0","0.0","--","66","141","144","--","189.8","161","131","624","0.0","0.0","14240","--","--","0:00","12.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2018-02-10 08:20:11,false,"Muang Chiang Mai Road Cycling","44.46","535","02:28:24","120","165","--","--","--","18.0","52.7","196","192","0.00","0.0","0.0","--","78","124","112","--","78.0","101","60","648","0.0","0.0","6539","--","--","0:00","17.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2018-02-06 17:48:14,false,"Lat Krabang Road Cycling","47.05","606","01:33:07","135","153","--","--","--","30.3","35.5","12","17","0.00","0.0","0.0","--","86","104","120","--","55.3","128","109","340","0.0","0.0","7916","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2018-02-05 18:08:06,false,"Lat Krabang Road Cycling","47.05","491","01:23:22","135","156","--","--","--","33.9","46.3","14","22","0.00","0.0","0.0","--","89","117","117","--","47.1","123","98","716","0.0","0.0","7300","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2018-02-04 06:53:36,false,"Bang Khun Thian Road Cycling","250.13","2,581","08:18:50","123","166","--","--","--","30.1","51.1","301","300","0.00","0.0","0.0","--","80","135","112","--","260.8","128","86","714","0.0","0.0","34445","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0","--","--","--"
Indoor Cycling,2018-02-02 21:35:17,false,"Indoor Cycling","0.00","43","00:13:48","--","--","--","--","--","--","--","--","--","0.00","0.0","0.0","--","66","92","83","--","3.9","34","53","219","0.0","0.0","535","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Walking,2018-02-01 19:40:08,false,"Walking","7.31","358","01:32:40","78","111","--","--","--","12:41","3:42","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","8","0.0","--","--","--"
Cycling,2018-01-30 19:04:00,false,"Lat Krabang Cycling","23.50","258","00:40:10","152","166","--","--","--","35.1","49.8","8","12","0.00","0.0","0.0","--","92","114","130","--","27.8","123","107","644","0.0","0.0","3622","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-30 17:16:00,false,"Lat Krabang Cycling","46.88","664","01:29:14","144","171","--","--","--","31.5","38.5","3","9","0.00","0.0","0.0","--","83","119","133","--","65.8","156","124","435","0.0","0.0","7409","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-28 23:40:34,false,"Lat Krabang Cycling","46.91","635","01:23:03","160","177","--","--","--","33.9","49.1","17","24","0.00","0.0","0.0","--","85","115","141","--","68.8","149","128","618","0.0","0.0","6995","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-21 22:32:27,false,"Lat Krabang Cycling","70.41","808","02:03:53","141","172","--","--","--","34.1","50.1","10","18","0.00","0.0","0.0","--","85","115","129","--","86.2","136","109","682","0.0","0.0","10406","--","--","0:00","26.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-21 20:38:46,false,"Lat Krabang Cycling","46.80","532","01:32:34","131","166","--","--","--","30.3","54.8","19","21","0.00","0.0","0.0","--","85","136","121","--","56.4","126","96","633","0.0","0.0","7704","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-20 21:18:54,false,"Nong Chok Cycling","210.85","2,819","07:24:04","146","181","--","--","--","28.5","50.2","295","276","0.00","0.0","0.0","--","82","148","123","--","280.5","134","106","1,286","0.0","0.0","31610","--","--","0:00","19.0","0:00","No","00:00.00","2","0.0","--","--","--"
Cycling,2018-01-20 06:48:57,false,"Lat Krabang Cycling","118.00","1,315","03:09:42","150","176","--","--","--","37.3","52.3","7","10","0.00","0.0","0.0","--","85","116","133","--","140.0","138","116","657","0.0","0.0","15847","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-18 08:55:11,false,"Bang Khen Cycling","60.37","935","02:03:41","142","164","--","--","--","29.3","43.5","30","38","0.00","0.0","0.0","--","85","107","138","50% L / 50% R","97.9","137","126","558","0.0","0.0","9560","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-17 18:15:38,false,"Lat Krabang Cycling","47.11","574","01:22:54","149","174","--","--","--","34.1","49.7","6","11","0.00","0.0","0.0","--","87","110","137","--","64.8","129","116","552","0.0","0.0","7176","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-15 17:05:14,false,"Lat Krabang Cycling","70.59","893","02:16:34","145","178","--","--","--","31.0","38.1","8","16","0.00","0.0","0.0","--","84","100","119","--","80.1","156","109","319","0.0","0.0","11457","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-14 17:43:40,false,"Lat Krabang Cycling","46.87","615","01:32:29","136","169","--","--","--","30.4","41.9","7","10","0.00","0.0","0.0","--","85","101","122","50% L / 50% R","56.9","141","111","351","0.0","0.0","7764","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-10 17:57:06,false,"Lat Krabang Cycling","46.86","679","01:31:07","141","170","--","--","--","30.9","38.9","7","13","0.00","0.0","0.0","--","86","106","134","50% L / 50% R","67.9","155","124","432","0.0","0.0","7708","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-07 06:31:52,false,"Muang Nonthaburi Cycling","208.85","2,313","06:59:30","135","163","--","--","--","29.9","43.7","135","118","0.00","0.0","0.0","--","80","124","103","--","185.8","108","92","722","0.0","0.0","30859","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-06 08:21:10,false,"Pak Phli Cycling","111.18","2,010","05:50:15","141","186","--","--","--","19.0","74.5","2,306","1,950","0.00","0.0","0.0","--","74","130","132","--","252.7","143","96","573","0.0","0.0","20790","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-04 17:35:00,false,"Lat Krabang Cycling","70.46","752","01:58:27","147","174","--","--","--","35.7","44.2","23","24","0.00","0.0","0.0","--","85","114","121","--","71.5","136","106","580","0.0","0.0","9960","--","--","0:00","25.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-03 17:52:39,false,"Lat Krabang Cycling","46.88","539","01:22:33","145","174","--","--","--","34.1","46.2","9","17","0.00","0.0","0.0","--","78","109","129","--","56.5","127","109","586","0.0","0.0","6370","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-03 17:13:36,false,"Lat Krabang Cycling","23.45","289","00:38:56","151","173","--","--","--","36.1","43.6","8","9","0.00","0.0","0.0","--","88","107","138","--","30.6","151","124","592","0.0","0.0","3408","--","--","0:00","25.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2018-01-02 06:31:10,false,"Lat Krabang Cycling","70.45","890","02:16:27","141","176","--","--","--","31.0","43.5","13","15","0.00","0.0","0.0","--","80","105","122","--","84.2","135","109","603","0.0","0.0","10831","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-25 17:36:38,false,"Lat Krabang Cycling","70.33","727","02:27:18","125","153","--","--","--","28.6","41.3","8","13","0.00","0.0","0.0","--","83","120","93","--","52.8","103","82","422","0.0","0.0","12061","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-23 06:00:52,false,"San Kamphaeng Cycling","330.80","4,501","16:06:33","133","189","--","--","--","20.5","77.0","4,430","4,415","0.00","0.0","0.0","--","67","121","106","50% L / 50% R","437.7","125","79","713","0.0","0.0","48767","--","--","0:00","6.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-12-18 19:20:07,false,"Bang Khen Running","10.37","609","01:03:13","155","179","4.6","156","162","6:06","5:02","1","11","1.05","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:00.00","7","0.0","--","--","--"
Cycling,2017-12-17 06:56:30,false,"Thung Khru Cycling","200.20","1,664","06:43:45","116","166","--","--","--","29.8","50.8","240","216","0.00","0.0","0.0","--","74","132","96","--","67.2","102","69","721","0.0","0.0","24073","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-16 07:32:33,false,"Sam Khok Cycling","86.01","1,079","02:43:48","150","177","--","--","--","31.5","41.2","36","46","0.00","0.0","0.0","--","85","111","118","--","40.9","133","110","478","0.0","0.0","13646","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-12-13 19:56:45,false,"Bang Khen Running","10.30","636","01:07:00","155","173","4.2","158","162","6:30","5:01","--","5","0.98","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","7","0.0","--","--","--"
Cycling,2017-12-10 07:18:27,false,"Sam Khok Cycling","87.63","971","02:34:34","136","173","--","--","--","34.0","47.8","47","53","0.00","0.0","0.0","--","74","128","122","50% L / 50% R","41.3","129","105","591","0.0","0.0","10047","--","--","0:00","19.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-09 07:07:33,false,"Sam Khok Cycling","109.68","1,300","03:16:46","147","177","--","--","--","33.4","47.9","65","74","0.00","0.0","0.0","--","75","133","125","50% L / 50% R","54.9","134","110","526","0.0","0.0","12997","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-05 06:51:41,false,"Bang Bon Cycling","178.04","1,636","05:30:00","129","166","--","--","--","32.4","48.5","192","198","0.00","0.0","0.0","--","81","126","96","--","27.3","99","80","513","0.0","0.0","12175","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-03 07:00:26,false,"Muang Nakhon Sawan Cycling","213.65","2,298","07:30:27","143","180","--","--","--","28.5","55.1","719","694","0.00","0.0","0.0","--","79","141","107","--","89.5","126","85","1,306","0.0","0.0","29018","--","--","0:00","19.0","0:00","No","00:00.00","1","0.0","--","--","--"
Cycling,2017-12-02 07:20:24,false,"Sam Khok Cycling","90.05","938","02:42:07","146","170","--","--","--","33.3","48.3","73","82","0.00","0.0","0.0","--","86","117","114","--","37.6","113","96","521","0.0","0.0","12765","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-11-30 20:49:31,false,"Bang Khen Running","7.48","449","00:46:45","157","172","3.9","158","164","6:15","4:52","--","1","1.01","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","5","0.0","--","--","--"
Running,2017-11-28 19:50:30,false,"Bang Khen Running","10.17","633","01:05:20","159","173","4.5","158","162","6:25","5:40","--","2","0.99","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","00:00.00","7","0.0","--","--","--"
Running,2017-11-25 19:03:21,false,"Bang Khen Running","10.11","585","01:03:25","155","177","4.4","158","162","6:16","5:17","--","5","1.02","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","00:00.00","7","0.0","--","--","--"
Cycling,2017-11-23 18:32:23,false,"Bang Khen Cycling","75.07","1,063","02:39:02","141","175","--","--","--","28.3","41.5","43","55","0.00","0.0","0.0","--","82","115","124","50% L / 50% R","43.8","128","111","552","0.0","0.0","12009","--","--","0:00","26.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-11-21 18:27:25,false,"Bang Khen Running","10.27","619","01:07:05","155","166","4.0","156","160","6:32","5:28","--","11","0.98","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","7","0.0","--","--","--"
Cycling,2017-11-19 06:47:27,false,"Sam Khok Cycling","160.38","1,742","05:18:17","136","166","--","--","--","30.2","44.2","117","106","0.00","0.0","0.0","--","76","117","120","50% L / 50% R","81.9","121","91","939","0.0","0.0","19466","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-11-18 18:38:23,false,"Bang Khen Running","10.30","649","01:10:36","154","169","4.3","158","162","6:51","6:00","--","9","0.92","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","7","0.0","--","--","--"
Running,2017-11-15 19:58:31,false,"Bang Khen Running","6.46","400","00:43:10","154","178","3.7","156","166","6:41","4:44","--","2","0.95","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","5","0.0","--","--","--"
Cycling,2017-11-14 18:23:14,false,"Sai Mai Cycling","90.53","1,154","03:18:25","137","170","--","--","--","27.4","39.3","30","43","0.00","0.0","0.0","--","76","123","102","50% L / 50% R","36.9","103","97","624","0.0","0.0","14107","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-11-13 18:19:24,false,"Bang Khen Running","10.15","686","01:10:17","160","176","4.6","158","162","6:55","6:05","--","5","0.92","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","7","0.0","--","--","--"
Indoor Cycling,2017-11-12 16:28:59,false,"Indoor Cycling","20.10","338","01:05:32","107","149","--","--","--","18.4","22.7","--","--","0.00","0.0","0.0","--","63","78","87","50% L / 50% R","8.9","89","86","130","0.0","0.0","4189","--","--","0:00","25.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2017-11-07 19:55:03,false,"Bang Khen Running","10.08","667","01:06:22","161","185","4.8","160","162","6:35","5:30","1","2","0.96","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-11-06 19:35:05,false,"Indoor Cycling","20.31","337","01:03:08","105","148","--","--","--","19.3","24.6","--","--","0.00","0.0","0.0","--","59","73","90","50% L / 50% R","9.1","94","89","129","0.0","0.0","3741","--","--","0:00","20.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-11-04 05:09:37,false,"Na Di Cycling","306.46","3,481","11:21:30","141","182","--","--","--","27.0","66.0","1,693","1,686","0.00","0.0","0.0","--","79","126","104","--","132.4","135","85","560","0.0","0.0","46810","--","--","0:00","17.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-11-02 18:59:38,false,"Bang Khen Running","7.47","476","00:48:02","159","179","4.2","156","162","6:26","5:25","--","6","0.99","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-11-01 18:06:52,false,"Sai Mai Cycling","70.15","937","02:32:40","147","163","--","--","--","27.6","37.7","23","26","0.00","0.0","0.0","--","80","124","109","50% L / 50% R","32.5","117","102","636","0.0","0.0","11434","--","--","0:00","23.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-10-30 18:52:54,false,"Bang Khen Running","10.07","650","01:03:03","163","179","5.0","158","162","6:16","5:13","--","8","1.01","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-10-28 16:59:29,false,"Sai Mai Cycling","100.01","1,446","03:42:10","136","160","--","--","--","27.0","37.2","39","51","0.00","0.0","0.0","--","77","124","115","50% L / 50% R","53.1","126","109","645","0.0","0.0","15879","--","--","0:00","25.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-10-24 20:16:54,false,"Indoor Cycling","26.05","397","01:10:35","108","166","--","--","--","22.1","28.5","--","7","0.00","0.0","0.0","--","66","85","96","50% L / 50% R","11.6","106","94","161","0.0","0.0","4701","--","--","0:00","20.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-10-23 18:35:59,false,"Sai Mai Running","10.00","680","01:05:27","164","187","5.0","158","166","6:33","5:03","1","10","0.96","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","30.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-10-22 19:32:44,false,"Indoor Cycling","37.03","562","01:30:28","121","158","--","--","--","24.6","30.0","--","1","0.00","0.0","0.0","--","59","74","105","50% L / 50% R","18.0","112","104","150","0.0","0.0","5321","--","--","0:00","23.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-10-18 18:13:18,false,"Bang Khen Running","10.14","647","01:05:26","160","183","5.0","158","162","6:27","5:34","--","7","0.99","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cardio,2017-10-17 18:28:19,false,"Cardio","0.00","268","01:06:16","79","117","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Walking,2017-10-16 18:24:54,false,"Walking","6.72","590","01:23:00","103","137","--","--","--","12:21","5:15","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-10-15 19:33:42,false,"Sai Mai Running","10.39","713","01:10:34","159","176","4.7","160","166","6:47","3:59","1","9","0.92","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-10-04 05:53:52,false,"San Francisco Running","8.95","500","01:07:32","136","178","2.8","128","240","7:33","3:20","131","137","1.04","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-10-03 06:38:08,false,"San Francisco Running","5.30","298","00:37:42","139","168","2.9","122","166","7:07","3:34","116","122","1.17","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","14.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-26 19:12:17,false,"Sai Mai Running","10.15","607","01:01:08","162","178","4.7","158","162","6:01","5:02","--","7","1.05","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-25 18:40:21,false,"Sai Mai Running","10.19","622","01:06:18","155","173","4.2","158","162","6:30","4:59","1","8","0.98","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-09-24 20:33:40,false,"Indoor Cycling","16.04","224","00:45:57","106","127","--","--","--","20.9","27.2","--","--","0.00","0.0","0.0","--","63","80","84","50% L / 50% R","5.8","89","81","139","0.0","0.0","2914","--","--","0:00","22.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cardio,2017-09-24 08:30:53,false,"Cardio","0.00","385","01:32:13","81","119","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-09-23 07:02:03,false,"Saphan Sung B39 Cycling","70.90","886","02:48:42","121","168","--","--","--","25.2","47.7","55","54","0.00","0.0","0.0","--","78","120","120","--","44.0","141","88","865","0.0","0.0","11371","--","--","0:00","24.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-20 19:14:31,false,"Bang Khen Running","11.42","697","01:15:55","154","174","4.5","158","164","6:39","4:56","--","7","0.95","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-09-19 18:23:20,false,"Bang Khen Cycling","33.88","558","01:12:11","136","161","--","--","--","28.2","43.3","14","24","0.00","0.0","0.0","--","75","118","163","50% L / 50% R","34.2","140","129","592","0.0","0.0","4703","--","--","0:00","27.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-17 19:15:03,false,"Bang Khen Running","12.14","740","01:18:15","159","174","5.0","158","162","6:27","4:59","--","11","0.98","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-09-16 21:00:08,false,"Indoor Cycling","25.25","433","01:04:03","119","169","--","--","--","23.7","45.0","--","1","0.00","0.0","0.0","--","72","101","124","50% L / 50% R","17.6","131","113","276","0.0","0.0","4667","--","--","0:00","19.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-09-15 20:38:03,false,"Indoor Cycling","31.03","539","01:20:15","116","155","--","--","--","23.2","30.2","--","--","0.00","0.0","0.0","--","76","99","115","50% L / 50% R","18.9","127","112","188","0.0","0.0","6105","--","--","0:00","20.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-13 19:09:51,false,"Sai Mai Running","10.13","651","01:07:50","161","182","5.0","160","164","6:42","5:53","1","8","0.94","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-12 19:00:06,false,"Sai Mai Running","11.10","686","01:13:03","160","184","5.0","158","162","6:35","5:44","--","6","0.97","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-09-09 06:12:52,false,"Muang Pathum Thani Cycling","76.09","913","02:27:03","156","177","--","--","--","31.0","42.1","36","46","0.00","0.0","0.0","--","86","115","119","--","37.6","130","104","624","0.0","0.0","11979","--","--","0:00","23.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-07 19:24:38,false,"Sai Mai Running","5.96","344","00:36:59","158","175","4.2","158","162","6:12","5:25","--","3","1.02","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-09-06 19:03:48,false,"Sai Mai Running","6.96","426","00:47:26","154","171","4.7","156","160","6:49","5:52","--","9","0.94","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cardio,2017-09-05 18:30:05,false,"Cardio","0.00","210","01:06:47","72","125","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-09-02 07:00:25,false,"Audax400 Chaopraya","408.15","4,625","15:35:13","131","159","--","--","--","26.2","176.2","259","242","0.00","0.0","0.0","--","81","121","94","--","149.8","117","82","618","0.0","0.0","68185","--","--","0:00","21.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-08-31 19:38:19,false,"Sai Mai Running","7.57","488","00:50:41","164","176","5.0","158","162","6:41","5:56","--","3","0.95","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-08-30 21:34:24,false,"Indoor Cycling","12.09","231","00:31:05","132","174","--","--","--","23.3","40.4","--","1","0.00","0.0","0.0","--","68","88","152","50% L / 50% R","12.7","128","124","252","0.0","0.0","2119","--","--","0:00","22.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cardio,2017-08-29 18:29:28,false,"Cardio","0.00","190","01:03:05","71","129","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Indoor Cycling,2017-08-28 20:44:51,false,"Indoor Cycling","25.12","423","01:10:07","114","155","--","--","--","21.5","26.2","--","--","0.00","0.0","0.0","--","70","87","103","50% L / 50% R","13.3","111","101","163","0.0","0.0","4924","--","--","0:00","19.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cardio,2017-08-23 18:29:41,false,"Cardio","0.00","220","01:02:40","75","111","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-08-22 20:12:48,false,"Sai Mai Running","5.48","336","00:36:12","160","174","5.0","156","160","6:37","5:51","2","5","0.97","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-08-21 19:57:29,false,"Sai Mai Running","7.54","422","00:51:57","148","173","4.9","156","160","6:53","4:37","--","6","0.93","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cycling,2017-08-20 06:20:12,false,"Pran Buri Cycling","62.30","806","02:20:25","132","175","--","--","--","26.6","44.4","62","75","0.00","0.0","0.0","--","71","115","136","50% L / 50% R","46.5","139","96","914","0.0","0.0","7912","--","--","0:00","22.0","0:00","No","00:00.00","--","0.0","--","--","--"
Cardio,2017-08-16 18:30:24,false,"Cardio","0.00","196","01:04:50","71","124","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--"
Running,2017-08-15 20:44:10,false,"Sai Mai Running","4.73","332","00:36:18","152","175","3.5","156","160","7:40","6:13","2","3","0.84","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","--","0.0","--","--","--"
