Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
cycling,2019-05-22 17:44:44,false,"Bang Phli Cycling","46.92","797","01:26:13","145","172","--","--","--","32.7","55.8","10","19","0.00","0.0","0.0","89","175","172","43% L / 57% R","105.9","187","154","743","0.0","0.0","7667","0:00","24.0","0:00","No","00:06.07","3","0.0"
cycling,2019-05-21 18:08:21,false,"Bang Phli Cycling","70.63","1,121","02:18:32","140","171","--","--","--","30.6","53.4","13","16","0.00","0.0","0.0","84","172","163","45% L / 55% R","152.5","170","135","711","0.0","0.0","11411","0:00","28.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-20 06:22:14,false,"Bang Phli Cycling","100.14","1,466","03:12:01","144","171","--","--","--","31.3","53.1","13","18","0.00","0.0","0.0","83","219","145","46% L / 54% R","168.1","170","127","693","0.0","0.0","15691","0:00","26.0","0:00","No","16:55.97","3","0.0"
cycling,2019-05-18 07:00:28,false,"Khlong Luang Cycling","129.96","1,726","04:36:02","143","173","--","--","--","28.2","45.2","219","174","0.00","0.0","0.0","80","245","126","47% L / 53% R","182.6","138","104","774","0.0","0.0","19442","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-16 18:05:43,false,"Bang Phli Cycling","70.34","910","02:10:38","130","176","--","--","--","32.3","51.1","8","10","0.00","0.0","0.0","81","182","138","44% L / 56% R","103.5","168","116","760","0.0","0.0","10309","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-15 17:35:55,false,"Bang Phli Cycling","70.31","1,076","02:05:07","150","181","--","--","--","33.7","49.4","7","11","0.00","0.0","0.0","85","150","163","44% L / 56% R","137.5","169","143","622","0.0","0.0","10535","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-14 17:53:08,false,"Bang Phli Cycling","23.40","417","00:46:57","138","171","--","--","--","29.9","42.0","1","13","0.00","0.0","0.0","87","165","178","43% L / 57% R","61.1","187","148","326","0.0","0.0","4060","0:00","20.0","0:00","No","23:27.67","2","0.0"
cycling,2019-05-11 06:23:12,false,"Bang Phli Cycling","93.95","1,272","02:44:16","146","178","--","--","--","34.3","46.0","8","11","0.00","0.0","0.0","79","172","146","45% L / 55% R","146.1","162","129","627","0.0","0.0","12878","0:00","25.0","0:00","No","00:00.80","3","0.0"
cycling,2019-05-09 18:10:24,false,"Bang Phli Cycling","46.87","683","01:21:08","144","172","--","--","--","34.7","59.0","7","11","0.00","0.0","0.0","88","127","170","45% L / 55% R","96.9","157","140","766","0.0","0.0","7111","0:00","28.0","0:00","No","39:00.93","2","0.0"
cycling,2019-05-08 18:12:24,false,"Bang Phli Cycling","70.33","1,019","02:01:26","149","177","--","--","--","34.8","58.2","8","15","0.00","0.0","0.0","85","141","169","45% L / 55% R","143.2","164","140","697","0.0","0.0","10377","0:00","28.0","0:00","No","39:08.43","3","0.0"
cycling,2019-05-05 06:49:55,false,"Bang Phli Cycling","70.41","813","02:06:49","131","160","--","--","--","33.3","55.1","5","9","0.00","0.0","0.0","77","176","133","47% L / 53% R","92.5","139","107","716","0.0","0.0","9751","0:00","27.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-04 17:55:55,false,"Bang Phli Cycling","46.89","825","01:35:01","148","172","--","--","--","29.6","53.8","3","12","0.00","0.0","0.0","87","165","160","44% L / 56% R","100.7","165","145","637","0.0","0.0","8172","0:00","28.0","0:00","No","46:39.40","2","0.0"
cycling,2019-05-04 06:54:53,false,"Bang Phli Cycling","46.86","656","01:39:15","130","160","--","--","--","28.3","34.8","2","4","0.00","0.0","0.0","76","157","115","46% L / 54% R","54.5","131","110","310","0.0","0.0","7529","0:00","29.0","0:00","No","00:01.02","2","0.0"
cycling,2019-05-02 18:18:07,false,"Bang Phli Cycling","46.82","720","01:34:27","140","174","--","--","--","29.7","45.6","2","5","0.00","0.0","0.0","81","157","149","44% L / 56% R","87.4","167","127","705","0.0","0.0","7556","0:00","28.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-30 18:22:11,false,"Bang Phli Cycling","47.23","737","01:32:28","141","175","--","--","--","30.6","60.7","12","21","0.00","0.0","0.0","84","129","164","44% L / 56% R","102.5","179","133","660","0.0","0.0","7665","0:00","28.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-28 18:33:21,false,"Bang Phli Cycling","46.83","618","01:49:39","109","150","--","--","--","25.6","32.2","2","5","0.00","0.0","0.0","75","156","101","43% L / 57% R","46.4","120","94","352","0.0","0.0","8072","0:00","27.0","0:00","No","00:01.00","3","0.0"
cycling,2019-04-27 16:02:17,false,"Mueang Pathum Thani Cycling","200.85","2,599","07:02:44","148","188","--","--","--","28.5","47.7","111","135","0.00","0.0","0.0","77","183","126","47% L / 53% R","279.0","154","103","678","0.0","0.0","28036","0:00","27.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-25 17:15:45,false,"Bang Phli Cycling","46.93","630","01:26:09","133","162","--","--","--","32.7","45.5","10","14","0.00","0.0","0.0","84","163","139","46% L / 54% R","68.8","144","122","619","0.0","0.0","7238","0:00","29.0","0:00","No","00:01.97","3","0.0"
cycling,2019-04-24 18:17:13,false,"Bang Phli Cycling","46.92","688","01:20:35","150","181","--","--","--","34.9","55.1","4","8","0.00","0.0","0.0","85","171","158","45% L / 55% R","83.8","167","143","622","0.0","0.0","6883","0:00","28.0","0:00","No","00:03.83","3","0.0"
cycling,2019-04-18 18:47:00,false,"Bang Phli Cycling","46.94","761","01:28:10","146","175","--","--","--","31.9","60.3","7","15","0.00","0.0","0.0","88","147","172","43% L / 57% R","108.2","168","144","855","0.0","0.0","7682","0:00","28.0","0:00","No","00:08.40","3","0.0"
cycling,2019-04-17 06:39:06,false,"Bang Phli Cycling","70.33","1,150","02:24:58","141","167","--","--","--","29.1","45.1","4","13","0.00","0.0","0.0","84","157","145","44% L / 56% R","127.1","172","132","653","0.0","0.0","12096","0:00","26.0","0:00","No","47:09.38","3","0.0"
cycling,2019-04-16 06:48:14,false,"Bang Phli Cycling","70.33","820","02:14:30","--","--","--","--","--","31.4","47.1","7","11","0.00","0.0","0.0","78","183","122","48% L / 52% R","83.5","153","102","818","0.0","0.0","10418","0:00","23.0","0:00","No","42:25.55","3","0.0"
cycling,2019-04-06 19:59:34,false,"Mueang Nakhon Pathom Cycling","634.53","8,174","24:10:59","136","171","--","--","--","26.2","51.2","603","584","0.00","0.0","0.0","74","182","113","46% L / 54% R","767.7","152","94","642","0.0","0.0","95358","0:00","21.0","0:00","No","00:00.00","1","0.0"
other,2019-04-05 21:21:41,false,"Other","0.00","212","00:39:03","91","148","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-02 18:01:41,false,"Bang Phli Cycling","70.42","900","02:14:34","140","173","--","--","--","31.4","56.4","7","11","0.00","0.0","0.0","84","156","149","31% L / 69% R","123.8","180","112","722","0.0","0.0","11077","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-31 06:18:43,false,"Bang Phli Cycling","70.35","1,093","02:14:57","136","173","--","--","--","31.3","50.7","2","11","0.00","0.0","0.0","81","181","156","48% L / 52% R","135.8","173","135","614","0.0","0.0","10852","0:00","24.0","0:00","No","40:55.07","3","0.0"
cycling,2019-03-30 06:34:05,false,"Bang Phli Cycling","70.39","953","02:02:42","140","170","--","--","--","34.4","48.7","8","14","0.00","0.0","0.0","78","170","144","47% L / 53% R","106.1","153","130","711","0.0","0.0","9565","0:00","25.0","0:00","No","38:27.27","3","0.0"
cycling,2019-03-28 17:47:40,false,"Bang Phli Cycling","70.63","899","02:01:44","135","171","--","--","--","34.8","61.3","7","15","0.00","0.0","0.0","80","169","163","49% L / 51% R","134.7","154","123","797","0.0","0.0","9634","0:00","26.0","0:00","No","00:47.08","4","0.0"
cycling,2019-03-27 18:12:26,false,"Bang Phli Cycling","46.91","669","01:18:07","146","174","--","--","--","36.0","59.2","4","9","0.00","0.0","0.0","85","160","167","44% L / 56% R","89.8","176","143","680","0.0","0.0","6660","0:00","25.0","0:00","No","36:59.40","2","0.0"
cycling,2019-03-26 17:42:08,false,"Bang Phli Cycling","70.40","1,118","02:08:49","144","171","--","--","--","32.8","59.6","8","16","0.00","0.0","0.0","84","167","164","44% L / 56% R","143.4","179","145","738","0.0","0.0","10783","0:00","26.0","0:00","No","39:28.35","3","0.0"
cycling,2019-03-24 18:27:23,false,"Bang Phli Cycling","46.89","684","01:28:11","131","163","--","--","--","31.9","52.3","4","7","0.00","0.0","0.0","84","159","160","45% L / 55% R","93.7","152","129","621","0.0","0.0","7430","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-23 06:26:49,false,"Bang Phli Cycling","70.37","1,110","02:18:07","144","166","--","--","--","30.6","36.0","4","7","0.00","0.0","0.0","80","155","139","45% L / 55% R","110.2","157","134","384","0.0","0.0","11017","0:00","23.0","0:00","No","45:07.60","3","0.0"
cycling,2019-03-21 17:55:47,false,"Bang Phli Cycling","70.42","1,137","02:15:43","143","173","--","--","--","31.1","45.2","4","17","0.00","0.0","0.0","84","163","147","45% L / 55% R","121.6","155","140","433","0.0","0.0","11335","0:00","25.0","0:00","No","44:57.03","3","0.0"
cycling,2019-03-19 18:27:56,false,"Bang Phli - Cycling","46.87","740","01:23:20","143","170","--","--","--","33.7","52.3","5","12","0.00","0.0","0.0","82","166","172","44% L / 56% R","101.7","181","148","630","0.0","0.0","6778","0:00","26.0","0:00","No","40:08.100","2","0.0"
cycling,2019-03-17 18:25:22,false,"Bang Phli - Cycling","46.88","378","02:16:23","96","135","--","--","--","20.6","25.8","4","6","0.00","0.0","0.0","58","151","55","47% L / 53% R","16.9","66","46","239","0.0","0.0","7425","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-16 07:00:46,false,"Bang Bua Thong - Cycling","402.32","5,490","14:11:26","134","176","--","--","--","28.4","47.1","277","278","0.00","0.0","0.0","77","183","125","47% L / 53% R","551.5","140","108","676","0.0","0.0","59650","0:00","22.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-14 18:03:33,false,"Bang Phli - Cycling","70.73","1,140","02:07:38","149","173","--","--","--","33.2","57.4","17","21","0.00","0.0","0.0","84","148","172","44% L / 56% R","156.9","167","149","692","0.0","0.0","10546","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-13 18:01:39,false,"Bang Phli - Cycling","46.88","602","01:38:45","118","152","--","--","--","28.5","55.1","5","6","0.00","0.0","0.0","76","163","130","45% L / 55% R","69.3","143","102","698","0.0","0.0","7344","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-12 18:06:33,false,"Bang Phli - Cycling","72.40","1,018","02:00:59","145","175","--","--","--","35.9","54.0","11","11","0.00","0.0","0.0","86","158","178","46% L / 54% R","159.9","173","141","719","0.0","0.0","10220","0:00","24.0","0:00","No","05:20.64","4","0.0"
cycling,2019-03-10 07:05:02,false,"Bang Phli - Cycling","70.42","958","02:04:59","139","173","--","--","--","33.8","51.7","6","15","0.00","0.0","0.0","83","158","149","47% L / 53% R","114.9","154","128","679","0.0","0.0","10272","0:00","24.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-09 06:48:40,false,"Bang Phli - Cycling","93.96","1,300","02:56:20","148","177","--","--","--","32.0","53.3","11","21","0.00","0.0","0.0","78","172","141","49% L / 51% R","145.2","159","123","646","0.0","0.0","13619","0:00","23.0","0:00","No","36:37.07","4","0.0"
cycling,2019-03-07 18:14:44,false,"Bang Phli - Cycling","46.91","727","01:24:10","144","175","--","--","--","33.4","54.5","7","9","0.00","0.0","0.0","81","159","177","44% L / 56% R","108.9","177","144","771","0.0","0.0","6710","0:00","24.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-05 18:22:19,false,"Bang Phli - Cycling","47.22","609","01:23:25","135","185","3.7","--","--","34.0","53.3","33","41","0.00","0.0","0.0","80","153","170","45% L / 55% R","94.0","171","131","750","0.0","0.0","--","0:00","29.0","0:00","No","09:37.29","6","0.0"
cycling,2019-03-03 12:28:04,false,"Kaeng Krachan - Cycling","4.24","41","00:13:25","--","--","--","--","--","19.0","31.8","22","21","0.00","0.0","0.0","61","155","83","44% L / 56% R","3.8","--","52","365","0.0","0.0","571","0:00","32.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-03 06:45:25,false,"Kaeng Krachan - Cycling","104.03","1,553","03:57:24","134","188","--","--","--","26.3","74.2","743","747","0.00","0.0","0.0","68","182","157","47% L / 53% R","242.0","167","109","805","0.0","0.0","14338","0:00","21.0","0:00","No","00:00.00","1","0.0"
cycling,2019-03-02 06:45:11,false,"Bang Phli - Cycling","46.95","613","01:18:56","129","171","--","--","--","35.7","57.4","2","6","0.00","0.0","0.0","75","162","154","46% L / 54% R","77.6","171","130","709","0.0","0.0","5840","0:00","24.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-28 17:44:24,false,"Bang Phli Cycling","70.41","1,076","02:15:59","136","175","--","--","--","31.1","58.2","18","14","0.00","0.0","0.0","81","183","171","45% L / 55% R","157.4","175","137","763","0.0","0.0","10287","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-27 18:31:02,false,"Bang Phli Cycling","46.90","793","01:25:15","147","169","--","--","--","33.0","56.9","6","12","0.00","0.0","0.0","81","163","180","46% L / 54% R","114.4","184","155","700","0.0","0.0","6875","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-26 18:08:09,false,"Bang Phli Cycling","46.88","780","01:38:27","133","167","--","--","--","28.6","55.8","5","9","0.00","0.0","0.0","75","171","170","46% L / 54% R","117.4","151","132","629","0.0","0.0","7388","0:00","24.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-24 07:00:46,false,"Mueang Pathum Thani Cycling","201.32","2,615","08:21:50","144","186","--","--","--","24.1","48.1","137","122","0.00","0.0","0.0","76","183","117","48% L / 52% R","266.0","139","91","671","0.0","0.0","29164","0:00","23.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-23 06:26:18,false,"Bang Phli Cycling","50.13","565","01:32:10","123","168","--","--","--","32.6","43.3","3","5","0.00","0.0","0.0","79","146","128","45% L / 55% R","62.5","156","102","518","0.0","0.0","7158","0:00","22.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-19 07:00:57,false,"Nong Chok Cycling","203.90","2,866","08:17:48","142","181","--","--","--","24.6","39.1","167","162","0.00","0.0","0.0","77","251","116","45% L / 55% R","276.8","123","96","838","0.0","0.0","33462","0:00","21.0","0:00","No","59:43.55","2","0.0"
cycling,2019-02-16 08:24:08,false,"Mueang Prachin Buri Cycling","126.43","2,839","06:43:37","141","185","--","--","--","18.8","80.8","2,450","2,475","0.00","0.0","0.0","69","175","161","44% L / 56% R","435.1","176","117","666","0.0","0.0","23638","0:00","21.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-12 17:54:52,false,"Bang Phli Cycling","68.55","934","01:50:16","142","176","--","--","--","37.3","60.2","11","12","0.00","0.0","0.0","82","178","187","42% L / 58% R","159.5","187","141","915","0.0","0.0","8946","0:00","26.0","0:00","No","01:10:04.48","2","0.0"
